"AcceptedKnowledge";"infoSeeking";"infoPassive";"FakeIDK";"FakeIncorrect";"Selective";"Unconscious";"s";"sprime";"sigmaHNL";"sigmaHNL3";"sigmaHL";"sigmaINL";"sigmaIL";"sigmaHNL3DK";"sigmaHNL3Incor"
"30";0.449170721533809;0.165392543713475;0.0174101457924605;0;0;0;0.366880763355339;0.637185580592785;0.554173809639285;0.198564582335269;0.243890142091011;0.207645583719383;0.207335152826745;0.192161944106509;0.224237404463946;0.204889495366363
"31";0.487535775429281;0.152307148713783;0;0;0;0;0.359097084323193;0.505792254133631;0.545305181241246;0.19760481133596;0.201950918841996;0.22265375515669;0.201360387811678;0.196626394965541;0.208014643766511;0.19330843048456
"32";0.460972866646883;0.170977225249341;0;0.00880546291725811;0;0;0.35810951969664;0.612763779898311;0.547620497537318;0.194259889303226;0.229721062796016;0.210584830439994;0.19838947592871;0.201131714446918;0.224014146017617;0.191723076443329
"33";0.406931046747233;0.212113696277028;0;0;0;0;0.379323686328011;0.806451035701579;0.63597930979197;0.198343463163431;0.237336791349451;0.216283281198348;0.203860114506141;0.204042533030912;0.248742029539052;0.202489259986649
"34";0.437293598882914;0.191712070598258;0;0;0;0;0.370207451234284;0.744240439429562;0.525452677432772;0.207651750968501;0.229220819326809;0.209980153848652;0.202943624798027;0.18904626807897;0.232866784262462;0.218646074975949
"35";0.431608477698239;0.184642937012571;0;0.00971117810061225;0;0;0.37295665538747;0.714232722332878;0.549735509714722;0.197982500117536;0.242774400106808;0.230197026728924;0.204329812070392;0.195955059193957;0.238161868974531;0.20715516131014
"36";0.438973768466488;0.183319062780312;0;0;0;0;0.376339358033445;0.744434382718297;0.557556485929834;0.198859622965592;0.230839696280155;0.22025954649831;0.216220563777435;0.192442973886585;0.217284261190865;0.203430286517614
"37";0.424993092329782;0.196188947901853;0;0;0;0;0.377172207886349;0.802883974760511;0.545623228995012;0.216035365698584;0.269593695803549;0.228459021933688;0.210010804236656;0.208079586726886;0.23803682731484;0.224240830128672
"38";0.443713093266417;0.193958080049531;0;0;0;0;0.360976926421035;0.737422220629231;0.599266361480454;0.192418805227247;0.23680728741227;0.223354035233807;0.20972595027855;0.202612471238295;0.22657402092601;0.191331625541582
"39";0.430308111214889;0.187898747301373;0;0.00437771025435914;0;0;0.375948181754965;0.703088357827305;0.553930778378607;0.17987689508042;0.257315722315773;0.20918253972191;0.208146889405051;0.212417787851152;0.238859520343836;0.204922677353625
"40";0.461934080646105;0.17407742370333;0;0;0;0;0.363020138212774;0.674649325869627;0.579840584065287;0.192293416674077;0.219937764394901;0.201458047048608;0.207144326400599;0.203097234447679;0.206753386571822;0.187952371465179
"41";0.464258924629631;0.152172854398787;0;0;0;0;0.382432733850786;0.714218757366309;0.567687632706788;0.20551861073585;0.218331659503748;0.207998686004826;0.211471998469026;0.194825229047351;0.186225738763359;0.187916481935191
"42";0.402791167785592;0.187348987392421;0.0367772470132685;0;0;0;0.371894066587647;0.801058030588542;0.63328863697063;0.218580365430789;0.230641595534735;0.224955710603907;0.216156881389596;0.198577156827585;0.219090096695888;0.20000882193113
"43";0.404758346280729;0.206433392907223;0;0;0;0;0.388160761190397;0.82772527722831;0.65729516755596;0.206582740343325;0.228827996438835;0.223707374975727;0.20662277431324;0.203332970715591;0.215569876781116;0.218266822099633
"44";0.439031085422498;0.193276325155061;0;0;0;0;0.366833323790347;0.784750503763603;0.602201700450563;0.20140840986204;0.224171899181076;0.219395310749609;0.20415234449681;0.200110756493699;0.233101954869353;0.202771432604696
"45";0.452400424368374;0.167008663617529;0;0;0;0;0.379225921450182;0.718634559061889;0.587555373131288;0.20456033024118;0.219141428705126;0.216913883890257;0.213962015736845;0.194648850865049;0.229636038642681;0.211014176145016
